label,peatland,sample.no,depth,wtd
sos.01.up,sos,1,up,22
sos.02.up,sos,2,up,22
sos.03.up,sos,3,up,20
sos.04.up,sos,4,up,16
sos.05.up,sos,5,up,16
sos.06.up,sos,6,up,12
sos.07.up,sos,7,up,12
sos.08.up,sos,8,up,12
sos.09.up,sos,9,up,10
sos.10.up,sos,10,up,10
sos.11.up,sos,11,up,8
sos.12.up,sos,12,up,8
sos.01.lo,sos,1,lo,22
sos.02.lo,sos,2,lo,22
sos.03.lo,sos,3,lo,20
sos.04.lo,sos,4,lo,16
sos.05.lo,sos,5,lo,16
sos.06.lo,sos,6,lo,12
sos.07.lo,sos,7,lo,12
sos.08.lo,sos,8,lo,12
sos.09.lo,sos,9,lo,10
sos.10.lo,sos,10,lo,10
sos.11.lo,sos,11,lo,8
sos.12.lo,sos,12,lo,8
vya.01.up,vya,1,up,15
vya.02.up,vya,2,up,15
vya.03.up,vya,3,up,15
vya.04.up,vya,4,up,10
vya.05.up,vya,5,up,10
vya.06.up,vya,6,up,4
vya.07.up,vya,7,up,3
vya.08.up,vya,8,up,2
vya.09.up,vya,9,up,0
vya.10.up,vya,10,up,0
vya.01.lo,vya,1,lo,15
vya.02.lo,vya,2,lo,15
vya.03.lo,vya,3,lo,15
vya.04.lo,vya,4,lo,10
vya.05.lo,vya,5,lo,10
vya.06.lo,vya,6,lo,4
vya.07.lo,vya,7,lo,3
vya.08.lo,vya,8,lo,2
vya.09.lo,vya,9,lo,0
vya.10.lo,vya,10,lo,0
ver.01.up,ver,1,up,30
ver.02.up,ver,2,up,30
ver.03.up,ver,3,up,28
ver.04.up,ver,4,up,22
ver.05.up,ver,5,up,22
ver.06.up,ver,6,up,16
ver.07.up,ver,7,up,12
ver.08.up,ver,8,up,12
ver.09.up,ver,9,up,10
ver.10.up,ver,10,up,10
ver.11.up,ver,11,up,10
ver.12.up,ver,12,up,10
ver.01.lo,ver,1,lo,30
ver.02.lo,ver,2,lo,30
ver.03.lo,ver,3,lo,28
ver.04.lo,ver,4,lo,22
ver.05.lo,ver,5,lo,22
ver.06.lo,ver,6,lo,16
ver.07.lo,ver,7,lo,12
ver.08.lo,ver,8,lo,12
ver.09.lo,ver,9,lo,10
ver.10.lo,ver,10,lo,10
ver.11.lo,ver,11,lo,10
ver.12.lo,ver,12,lo,10
bez.01.up,bez,1,up,25
bez.02.up,bez,2,up,24
bez.03.up,bez,3,up,17
bez.04.up,bez,4,up,17
bez.05.up,bez,5,up,17
bez.06.up,bez,6,up,15
bez.07.up,bez,7,up,12
bez.08.up,bez,8,up,12
bez.09.up,bez,9,up,8
bez.10.up,bez,10,up,7
bez.11.up,bez,11,up,6
bez.12.up,bez,12,up,5
bez.01.lo,bez,1,lo,25
bez.02.lo,bez,2,lo,24
bez.03.lo,bez,3,lo,17
bez.04.lo,bez,4,lo,17
bez.05.lo,bez,5,lo,17
bez.06.lo,bez,6,lo,15
bez.07.lo,bez,7,lo,12
bez.08.lo,bez,8,lo,12
bez.09.lo,bez,9,lo,8
bez.10.lo,bez,10,lo,7
bez.11.lo,bez,11,lo,6
bez.12.lo,bez,12,lo,5
